,acc,trait,fold,network,dataset,lr,batch_size,epochs,model_input,embed,layer,mode,embed_mode,jobid
28,61.38211488723755,AGR,9,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
29,61.38211488723755,AGR,10,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
30,51.41700506210327,CON,1,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
31,61.13360524177551,CON,2,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
32,57.08501935005188,CON,3,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
33,64.37246799468994,CON,4,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
34,57.894736528396606,CON,5,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
35,61.94332242012024,CON,6,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
36,56.68016076087952,CON,7,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
37,60.56910753250122,CON,8,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
38,53.25203537940979,CON,9,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
39,56.09756112098694,CON,10,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
40,61.13360524177551,OPN,1,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
41,65.18218517303467,OPN,2,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
42,66.80161952972412,OPN,3,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
43,66.39676094055176,OPN,4,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
44,60.72874665260315,OPN,5,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
45,61.13360524177551,OPN,6,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
46,64.37246799468994,OPN,7,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
47,64.2276406288147,OPN,8,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
48,61.78861856460571,OPN,9,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
49,61.78861856460571,OPN,10,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
